Date : 2025-12-04 10:54:59
Directory : /Users/marie/Documents/GBO-Updated
Total : 362 files,  18888 codes, 912 comments, 1969 blanks, all 21769 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /Users/marie/Documents/GitHub/GBO-Updated/lib/services/referee_invitation_monitoring_service.dart                   | Dart         |       -403 |        -38 |        -70 |       -511 |
| /Users/marie/Documents/GitHub/GBO-Updated/lib/services/referee_service.dart                                         | Dart         |       -294 |        -39 |        -47 |       -380 |
| /Users/marie/Documents/GitHub/GBO-Updated/lib/services/team_manager_service.dart                                    | Dart         |       -211 |        -14 |        -26 |       -251 |
| /Users/marie/Documents/GitHub/GBO-Updated/lib/services/team_service.dart                                            | Dart         |       -139 |        -27 |        -29 |       -195 |
| /Users/marie/Documents/GitHub/GBO-Updated/lib/services/tournament_service.dart                                      | Dart         |       -653 |       -103 |       -142 |       -898 |
| /Users/marie/Documents/GitHub/GBO-Updated/lib/utils/app_colors.dart                                                 | Dart         |        -33 |         -8 |         -8 |        -49 |
| /Users/marie/Documents/GitHub/GBO-Updated/lib/utils/bracket_id_helper.dart                                          | Dart         |       -137 |        -15 |        -16 |       -168 |
| /Users/marie/Documents/GitHub/GBO-Updated/lib/utils/bracket_templates.dart                                          | Dart         |       -292 |        -18 |        -27 |       -337 |
| /Users/marie/Documents/GitHub/GBO-Updated/lib/utils/responsive_helper.dart                                          | Dart         |        -25 |          0 |         -5 |        -30 |
| /Users/marie/Documents/GitHub/GBO-Updated/lib/widgets/admin_face_id_overlay.dart                                    | Dart         |       -219 |         -5 |        -18 |       -242 |
| /Users/marie/Documents/GitHub/GBO-Updated/lib/widgets/advanced_scheduling_dialog.dart                               | Dart         |       -764 |         -9 |        -50 |       -823 |
| /Users/marie/Documents/GitHub/GBO-Updated/lib/widgets/coach_auth_overlay.dart                                       | Dart         |       -510 |        -19 |        -41 |       -570 |
| /Users/marie/Documents/GitHub/GBO-Updated/lib/widgets/create_task_dialog.dart                                       | Dart         |       -616 |        -11 |        -39 |       -666 |
| /Users/marie/Documents/GitHub/GBO-Updated/lib/widgets/custom_bracket_builder.dart                                   | Dart         |     -2,955 |       -140 |       -244 |     -3,339 |
| /Users/marie/Documents/GitHub/GBO-Updated/lib/widgets/face_id_dialog.dart                                           | Dart         |       -304 |         -9 |        -19 |       -332 |
| /Users/marie/Documents/GitHub/GBO-Updated/lib/widgets/gbo_loader.dart                                               | Dart         |       -127 |          0 |        -11 |       -138 |
| /Users/marie/Documents/GitHub/GBO-Updated/lib/widgets/kanban_task_card.dart                                         | Dart         |       -296 |        -10 |        -20 |       -326 |
| /Users/marie/Documents/GitHub/GBO-Updated/lib/widgets/login_face_id_overlay.dart                                    | Dart         |       -429 |        -21 |        -34 |       -484 |
| /Users/marie/Documents/GitHub/GBO-Updated/lib/widgets/mixed_font_title.dart                                         | Dart         |        -23 |          0 |         -3 |        -26 |
| /Users/marie/Documents/GitHub/GBO-Updated/lib/widgets/notification_status_widget.dart                               | Dart         |       -203 |         -7 |        -19 |       -229 |
| /Users/marie/Documents/GitHub/GBO-Updated/lib/widgets/referee_invitation_bottom_overlay.dart                        | Dart         |       -737 |        -23 |        -32 |       -792 |
| /Users/marie/Documents/GitHub/GBO-Updated/lib/widgets/referee_invitation_dialog.dart                                | Dart         |       -308 |         -7 |        -20 |       -335 |
| /Users/marie/Documents/GitHub/GBO-Updated/lib/widgets/responsive_card.dart                                          | Dart         |       -107 |          0 |        -12 |       -119 |
| /Users/marie/Documents/GitHub/GBO-Updated/lib/widgets/responsive_dashboard.dart                                     | Dart         |       -140 |         -2 |         -9 |       -151 |
| /Users/marie/Documents/GitHub/GBO-Updated/lib/widgets/responsive_layout.dart                                        | Dart         |       -132 |          0 |         -5 |       -137 |
| /Users/marie/Documents/GitHub/GBO-Updated/lib/widgets/side_navigation.dart                                          | Dart         |     -1,221 |        -37 |        -79 |     -1,337 |
| /Users/marie/Documents/GitHub/GBO-Updated/lib/widgets/task_detail_dialog.dart                                       | Dart         |     -1,172 |        -15 |        -86 |     -1,273 |
| /Users/marie/Documents/GitHub/GBO-Updated/lib/widgets/team_avatar.dart                                              | Dart         |       -103 |         -2 |        -11 |       -116 |
| /Users/marie/Documents/GitHub/GBO-Updated/lib/widgets/tournament_overview.dart                                      | Dart         |        -93 |         -2 |         -9 |       -104 |
| /Users/marie/Documents/GitHub/GBO-Updated/lib/widgets/tournament_timeline.dart                                      | Dart         |       -980 |        -40 |        -64 |     -1,084 |
| /Users/marie/Documents/GitHub/GBO-Updated/pubspec.yaml                                                              | YAML         |        -49 |        -23 |         -9 |        -81 |
| /Users/marie/Documents/GitHub/GBO-Updated/test/widget_test.dart                                                     | Dart         |        -14 |        -10 |         -7 |        -31 |
| /Users/marie/Documents/GitHub/GBO-Updated/web/index.html                                                            | HTML         |       -161 |        -22 |        -24 |       -207 |
| /Users/marie/Documents/GitHub/GBO-Updated/web/manifest.json                                                         | JSON         |        -38 |          0 |         -1 |        -39 |
| Total                                                                                                               |              |     18,888 |        912 |      1,969 |     21,769 |
+---------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
