Date : 2025-12-04 10:54:59
Directory : /Users/marie/Documents/GBO-Updated
Total : 362 files,  18888 codes, 912 comments, 1969 blanks, all 21769 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /Users/marie/Documents/GBO-Updated/ios/GBOWidget/GBOWidget.swift                                                    | Swift        |         62 |         10 |         17 |         89 |
| /Users/marie/Documents/GBO-Updated/ios/GBOWidget/GBOWidgetBundle.swift                                              | Swift        |         10 |          6 |          3 |         19 |
| /Users/marie/Documents/GBO-Updated/ios/GBOWidget/GBOWidgetControl.swift                                             | Swift        |         56 |          7 |         15 |         78 |
| /Users/marie/Documents/GBO-Updated/ios/GBOWidget/GBOWidgetLiveActivity.swift                                        | Swift        |        101 |          4 |         17 |        122 |
| /Users/marie/Documents/GBO-Updated/ios/Podfile                                                                      | Ruby         |         35 |          2 |         10 |         47 |
| /Users/marie/Documents/GBO-Updated/ios/Runner/AppDelegate.swift                                                     | Swift        |        640 |         44 |        146 |        830 |
| /Users/marie/Documents/GBO-Updated/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                      | JSON         |         38 |          0 |          1 |         39 |
| /Users/marie/Documents/GBO-Updated/ios/Runner/Assets.xcassets/Contents.json                                         | JSON         |          6 |          0 |          1 |          7 |
| /Users/marie/Documents/GBO-Updated/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json                    | JSON         |         23 |          0 |          1 |         24 |
| /Users/marie/Documents/GBO-Updated/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md                        | Markdown     |          3 |          0 |          2 |          5 |
| /Users/marie/Documents/GBO-Updated/ios/Runner/Assets.xcassets/gbo_icon.dataset/Contents.json                        | JSON         |         12 |          0 |          1 |         13 |
| /Users/marie/Documents/GBO-Updated/ios/Runner/Assets.xcassets/logo.imageset/Contents.json                           | JSON         |         21 |          0 |          1 |         22 |
| /Users/marie/Documents/GBO-Updated/ios/Runner/Base.lproj/LaunchScreen.storyboard                                    | XML          |         36 |          1 |          1 |         38 |
| /Users/marie/Documents/GBO-Updated/ios/Runner/Base.lproj/Main.storyboard                                            | XML          |         28 |          1 |          1 |         30 |
| /Users/marie/Documents/GBO-Updated/ios/Runner/Runner-Bridging-Header.h                                              | C++          |          1 |          0 |          1 |          2 |
| /Users/marie/Documents/GBO-Updated/ios/RunnerTests/RunnerTests.swift                                                | Swift        |          7 |          2 |          4 |         13 |
| /Users/marie/Documents/GBO-Updated/ios/SETUP_INSTRUCTIONS.md                                                        | Markdown     |         71 |          0 |         20 |         91 |
| /Users/marie/Documents/GBO-Updated/lib/data/german_cities.dart                                                      | Dart         |      2,222 |          6 |         14 |      2,242 |
| /Users/marie/Documents/GBO-Updated/lib/firebase_config.dart                                                         | Dart         |         50 |          3 |          6 |         59 |
| /Users/marie/Documents/GBO-Updated/lib/main.dart                                                                    | Dart         |        154 |         10 |         18 |        182 |
| /Users/marie/Documents/GBO-Updated/lib/models/city.dart                                                             | Dart         |        102 |          1 |         11 |        114 |
| /Users/marie/Documents/GBO-Updated/lib/models/club.dart                                                             | Dart         |         94 |          0 |          6 |        100 |
| /Users/marie/Documents/GBO-Updated/lib/models/coach_auth_request.dart                                               | Dart         |        152 |          0 |          9 |        161 |
| /Users/marie/Documents/GBO-Updated/lib/models/court.dart                                                            | Dart         |         94 |          3 |          7 |        104 |
| /Users/marie/Documents/GBO-Updated/lib/models/delegate.dart                                                         | Dart         |         96 |          2 |         11 |        109 |
| /Users/marie/Documents/GBO-Updated/lib/models/device.dart                                                           | Dart         |         44 |          0 |          5 |         49 |
| /Users/marie/Documents/GBO-Updated/lib/models/donation.dart                                                         | Dart         |         88 |          0 |          6 |         94 |
| /Users/marie/Documents/GBO-Updated/lib/models/game.dart                                                             | Dart         |        249 |          2 |         26 |        277 |
| /Users/marie/Documents/GBO-Updated/lib/models/game_event.dart                                                       | Dart         |        220 |          0 |         24 |        244 |
| /Users/marie/Documents/GBO-Updated/lib/models/game_squad.dart                                                       | Dart         |        185 |          0 |         17 |        202 |
| /Users/marie/Documents/GBO-Updated/lib/models/kanban_board.dart                                                     | Dart         |         80 |          0 |          6 |         86 |
| /Users/marie/Documents/GBO-Updated/lib/models/kanban_task.dart                                                      | Dart         |        282 |          0 |         17 |        299 |
| /Users/marie/Documents/GBO-Updated/lib/models/managed_account.dart                                                  | Dart         |        161 |          0 |         17 |        178 |
| /Users/marie/Documents/GBO-Updated/lib/models/one_time_code.dart                                                    | Dart         |         80 |          4 |          7 |         91 |
| /Users/marie/Documents/GBO-Updated/lib/models/player.dart                                                           | Dart         |         99 |          0 |          7 |        106 |
| /Users/marie/Documents/GBO-Updated/lib/models/recent_account.dart                                                   | Dart         |         72 |          2 |         12 |         86 |
| /Users/marie/Documents/GBO-Updated/lib/models/referee.dart                                                          | Dart         |        154 |          6 |         21 |        181 |
| /Users/marie/Documents/GBO-Updated/lib/models/state.dart                                                            | Dart         |         75 |          0 |         10 |         85 |
| /Users/marie/Documents/GBO-Updated/lib/models/tablet_status.dart                                                    | Dart         |         77 |          3 |         12 |         92 |
| /Users/marie/Documents/GBO-Updated/lib/models/team.dart                                                             | Dart         |        102 |          0 |          6 |        108 |
| /Users/marie/Documents/GBO-Updated/lib/models/team_manager.dart                                                     | Dart         |         76 |          0 |          5 |         81 |
| /Users/marie/Documents/GBO-Updated/lib/models/tournament.dart                                                       | Dart         |        649 |         35 |         70 |        754 |
| /Users/marie/Documents/GBO-Updated/lib/models/tournament_criteria.dart                                              | Dart         |        304 |         26 |         27 |        357 |
| /Users/marie/Documents/GBO-Updated/lib/models/user.dart                                                             | Dart         |        159 |          5 |         10 |        174 |
| /Users/marie/Documents/GBO-Updated/lib/screens/admin_donation_management_screen.dart                                | Dart         |        694 |         10 |         49 |        753 |
